Description,Date,Value
Aktiva Dalam Negeri Bersih,2020-01-01,4522002000000000.0
Aktiva Dalam Negeri Bersih,2020-02-01,4523106000000000.0
Aktiva Dalam Negeri Bersih,2020-03-01,4769481000000000.0
Aktiva Dalam Negeri Bersih,2020-04-01,4592069000000000.0
Aktiva Dalam Negeri Bersih,2020-05-01,4808802000000000.0
Aktiva Dalam Negeri Bersih,2020-06-01,4771501000000000.0
Aktiva Dalam Negeri Bersih,2020-07-01,4842984000000000.0
Aktiva Dalam Negeri Bersih,2020-08-01,4994453000000000.0
Aktiva Dalam Negeri Bersih,2020-09-01,4986055000000000.0
Aktiva Dalam Negeri Bersih,2020-10-01,5045162000000000.0
Aktiva Dalam Negeri Bersih,2020-11-01,5151596000000000.0
Aktiva Dalam Negeri Bersih,2020-12-01,5188861000000000.0
Aktiva Dalam Negeri Bersih,2021-01-01,5015882000000000.0
Aktiva Dalam Negeri Bersih,2021-02-01,5041463000000000.0
Aktiva Dalam Negeri Bersih,2021-03-01,5092133000000000.0
Aktiva Dalam Negeri Bersih,2021-04-01,5142604000000000.0
Aktiva Dalam Negeri Bersih,2021-05-01,5238266000000000.0
Aktiva Dalam Negeri Bersih,2021-06-01,5320690000000000.0
Aktiva Dalam Negeri Bersih,2021-07-01,5361426000000000.0
Aktiva Dalam Negeri Bersih,2021-08-01,5369739000000000.0
Aktiva Dalam Negeri Bersih,2021-09-01,5449589000000000.0
Aktiva Dalam Negeri Bersih,2021-10-01,5657136000000000.0
Aktiva Dalam Negeri Bersih,2021-11-01,5729989000000000.0
Aktiva Dalam Negeri Bersih,2021-12-01,6057410000000000.0
Aktiva Dalam Negeri Bersih,2022-01-01,5864180000000000.0
Aktiva Dalam Negeri Bersih,2022-02-01,5888829000000000.0
Aktiva Dalam Negeri Bersih,2022-03-01,6034022000000000.0
Aktiva Dalam Negeri Bersih,2022-04-01,6169023000000000.0
Aktiva Dalam Negeri Bersih,2022-05-01,6139928000000000.0
Aktiva Dalam Negeri Bersih,2022-06-01,6111550000000000.0
Aktiva Dalam Negeri Bersih,2022-07-01,6129866000000000.0
Aktiva Dalam Negeri Bersih,2022-08-01,6130230000000000.0
Aktiva Dalam Negeri Bersih,2022-09-01,6209344000000000.0
Aktiva Dalam Negeri Bersih,2022-10-01,6459096000000000.0
Aktiva Dalam Negeri Bersih,2022-11-01,6435836000000000.0
Aktiva Dalam Negeri Bersih,2022-12-01,6629890000000000.0
Aktiva Dalam Negeri Bersih,2023-01-01,6372282000000000.0
Aktiva Dalam Negeri Bersih,2023-02-01,6372814000000000.0
Aktiva Dalam Negeri Bersih,2023-03-01,6340573000000000.0
Aktiva Dalam Negeri Bersih,2023-04-01,6418528000000000.0
Aktiva Dalam Negeri Bersih,2023-05-01,6463835000000000.0
Aktiva Dalam Negeri Bersih,2023-06-01,6538423000000000.0
Aktiva Dalam Negeri Bersih,2023-07-01,6478681000000000.0
Aktiva Dalam Negeri Bersih,2023-08-01,6514604000000000.0
Aktiva Dalam Negeri Bersih,2023-09-01,6582696000000000.0
Aktiva Dalam Negeri Bersih,2023-10-01,6655460000000000.0
Aktiva Dalam Negeri Bersih,2023-11-01,6707101000000000.0
Aktiva Dalam Negeri Bersih,2023-12-01,6857567000000000.0
Aktiva Dalam Negeri Bersih,2024-01-01,6731951000000000.0
Aktiva Dalam Negeri Bersih,2024-02-01,6767376000000000.0
Aktiva Dalam Negeri Bersih,2024-03-01,6960727000000000.0
Aktiva Dalam Negeri Bersih,2024-04-01,7013927000000000.0
Aktiva Dalam Negeri Bersih,2024-05-01,7086176000000000.0
Aktiva Dalam Negeri Bersih,2024-06-01,7124353000000000.0
Aktiva Dalam Negeri Bersih,2024-07-01,7115297000000000.0
Aktiva Dalam Negeri Bersih,2024-08-01,7144805000000000.0
Aktiva Luar negeri Bersih,2020-01-01,1524649000000000.0
Aktiva Luar negeri Bersih,2020-02-01,1593390000000000.0
Aktiva Luar negeri Bersih,2020-03-01,1670977000000000.0
Aktiva Luar negeri Bersih,2020-04-01,1646198000000000.0
Aktiva Luar negeri Bersih,2020-05-01,1659392000000000.0
Aktiva Luar negeri Bersih,2020-06-01,1622242000000000.0
Aktiva Luar negeri Bersih,2020-07-01,1724741000000000.0
Aktiva Luar negeri Bersih,2020-08-01,1737307000000000.0
Aktiva Luar negeri Bersih,2020-09-01,1762520000000000.0
Aktiva Luar negeri Bersih,2020-10-01,1735683000000000.0
Aktiva Luar negeri Bersih,2020-11-01,1665861000000000.0
Aktiva Luar negeri Bersih,2020-12-01,1711188000000000.0
Aktiva Luar negeri Bersih,2021-01-01,1751525000000000.0
Aktiva Luar negeri Bersih,2021-02-01,1776325000000000.0
Aktiva Luar negeri Bersih,2021-03-01,1803431000000000.0
Aktiva Luar negeri Bersih,2021-04-01,1821783000000000.0
Aktiva Luar negeri Bersih,2021-05-01,1765827000000000.0
Aktiva Luar negeri Bersih,2021-06-01,1809372000000000.0
Aktiva Luar negeri Bersih,2021-07-01,1799134000000000.0
Aktiva Luar negeri Bersih,2021-08-01,1841761000000000.0
