Description,2017,2018,2019,2020,2021,2022,2023_Jan,2023_Feb,2023_Mar,2023_Apr,2023_May,2023_Jun,2023_Jul,2023_Aug,2023_Sep,2023_Oct,2023_Nov,2023_Dec,2024_Jan,2024_Feb,2024_Mar,2024_Apr,2024_May,2024_Jun,2024_Jul,2024_Aug
Uang Beredar Luas(M2),5419165000000000,5760046000000000,6136777000000000,6905939000000000,7870453000000000,8528022000000000,8271838000000000,8300648000000000,8293283000000000,8352350000000000,8336171000000000,8372990000000000,8349492000000000,8364739000000000,8441236000000000,8506544000000000,8574917000000000,8824748000000000,8721950000000000,8739574000000000,8891425000000000,8926466000000000,8968821000000000,9015355000000000,8983383000000000,8973696000000000
Uang Beredar Sempit (M1),1390807000000000,1457150000000000,1565439000000000,1855693000000000,2282200000000000,2608797000000000,2422174000000000,2403594000000000,2408419000000000,2472869000000000,2423318000000000,2466009000000000,2438059000000000,2410851000000000,2482229000000000,2497710000000000,2510768000000000,2675324000000000,2564734000000000,2556485000000000,2639425000000000,2623331000000000,2625271000000000,2692395000000000,2625264000000000,2626712000000000
Uang Kartal di Luar Bank Umum dan BPR,586576000000000,625370000000000,654764000000000,760112000000000,831234000000000,897799000000000,830373000000000,813834000000000,832817000000000,895719000000000,859517000000000,879721000000000,853336000000000,851723000000000,865392000000000,863102000000000,893165000000000,975919000000000,915931000000000,911689000000000,953824000000000,943292000000000,934144000000000,958575000000000,939541000000000,954380000000000
Giro Rupiah,804231000000000,831779000000000,910675000000000,1095580000000000,1450967000000000,1710998000000000,1591801000000000,1589760000000000,1575602000000000,1577150000000000,1563801000000000,1586288000000000,1584723000000000,1559128000000000,1616837000000000,1634608000000000,1617603000000000,1699406000000000,1648803000000000,1644796000000000,1685601000000000,1680039000000000,1691128000000000,1733820000000000,1685723000000000,1672331000000000
a.I: Uang Elektronik,2421000000000,4033000000000,6143000000000,7893000000000,11112000000000,10606000000000,10598000000000,10789000000000,11434000000000,11107000000000,11196000000000,11456000000000,11304000000000,11392000000000,11430000000000,11622000000000,11887000000000,11989000000000,12079000000000,12356000000000,12461000000000,12874000000000,12821000000000,13026000000000,12964000000000,13020000000000
Uang Kuasi,4009996000000000,4282364000000000,4545357000000000,5027027000000000,5565578000000000,5894662000000000,5822056000000000,5871477000000000,5861271000000000,5856023000000000,5890062000000000,5883280000000000,5884767000000000,5926011000000000,5933580000000000,5981917000000000,6036313000000000,6120811000000000,6128684000000000,6152725000000000,6221533000000000,6271595000000000,6306932000000000,6253307000000000,6268568000000000,6243740000000000
Simpanan Berjangka (Rupiah dan Valas),2124289000000000,2233782000000000,2353391000000000,2555399000000000,2675774000000000,2728041000000000,2733074000000000,2773225000000000,2755191000000000,2739676000000000,2795833000000000,2760561000000000,2760453000000000,2804890000000000,2819857000000000,2833435000000000,2849001000000000,2865553000000000,2890499000000000,2920304000000000,2955034000000000,2956907000000000,2969556000000000,2928977000000000,2951053000000000,2957751000000000
Rupiah,1851098000000000,1934018000000000,2054926000000000,2272158000000000,2386827000000000,2413336000000000,2421936000000000,2454631000000000,2444955000000000,2452839000000000,2504960000000000,2486556000000000,2475842000000000,2516056000000000,2522193000000000,2536166000000000,2556722000000000,2558760000000000,2577797000000000,2606615000000000,2638689000000000,2648385000000000,2649210000000000,2581960000000000,2601374000000000,2614838000000000
Valuta Asing,273191000000000,299763000000000,298465000000000,283241000000000,288947000000000,314704000000000,311138000000000,318594000000000,310236000000000,286837000000000,290874000000000,274006000000000,284611000000000,288834000000000,297664000000000,297268000000000,292279000000000,306793000000000,312701000000000,313688000000000,316346000000000,308522000000000,320347000000000,347016000000000,349679000000000,342913000000000
Tabungan Lainnya (Rupiah dan Valas),1638333000000000,1769299000000000,1877909000000000,2108160000000000,2376835000000000,2504674000000000,2434118000000000,2425244000000000,2429568000000000,2477517000000000,2468891000000000,2479725000000000,2476093000000000,2465697000000000,2457435000000000,2458475000000000,2481260000000000,2524844000000000,2513479000000000,2505885000000000,2539746000000000,2564432000000000,2552677000000000,2578660000000000,2586439000000000,2579700000000000
Rupiah,1520007000000000,1644863000000000,1757687000000000,1959945000000000,2218073000000000,2324524000000000,2256437000000000,2246760000000000,2248932000000000,2295278000000000,2297616000000000,2313835000000000,2310876000000000,2301314000000000,2290601000000000,2294905000000000,2317951000000000,2363775000000000,2346062000000000,2338694000000000,2378068000000000,2397754000000000,2385736000000000,2407188000000000,2413284000000000,2403646000000000
Valuta Asing,118326000000000,124436000000000,120222000000000,148215000000000,158762000000000,180150000000000,177680000000000,178484000000000,180636000000000,182240000000000,171275000000000,165889000000000,165217000000000,164383000000000,166834000000000,163570000000000,163309000000000,161070000000000,167417000000000,167191000000000,161678000000000,166678000000000,166942000000000,171471000000000,173155000000000,176054000000000
Giro Valas,247374000000000,279284000000000,314056000000000,363468000000000,512969000000000,661947000000000,654864000000000,673009000000000,676512000000000,638830000000000,625338000000000,642994000000000,648221000000000,655424000000000,656289000000000,690007000000000,706052000000000,730414000000000,724706000000000,726537000000000,726752000000000,750256000000000,784698000000000,745670000000000,731076000000000,706289000000000
Surat Berharga Selain Saham,18362000000000,20533000000000,25981000000000,23220000000000,22675000000000,24563000000000,27608000000000,25577000000000,23594000000000,23457000000000,22791000000000,23701000000000,26667000000000,27878000000000,25427000000000,26917000000000,27836000000000,28613000000000,28532000000000,30364000000000,30467000000000,31539000000000,36618000000000,69653000000000,89551000000000,103245000000000
Faktor-faktor Yang Mempengaruhi Uang beredar,5419165000000000,5760046000000000,6136777000000000,6905939000000000,7870453000000000,8528022000000000,8271838000000000,8300648000000000,8293283000000000,8352350000000000,8336171000000000,8372990000000000,8349492000000000,8364739000000000,8441236000000000,8506544000000000,8574917000000000,8824748000000000,8721950000000000,8739574000000000,8891425000000000,8926466000000000,8968821000000000,9015355000000000,8983383000000000,8973696000000000
Aktiva Luar negeri Bersih,1541838000000000,1442602000000000,1506614000000000,1711187000000000,1809680000000000,1898133000000000,1899556000000000,1927835000000000,1952711000000000,1933822000000000,1872336000000000,1834567000000000,1870811000000000,1850135000000000,1858540000000000,1851084000000000,1867816000000000,1967181000000000,1989999000000000,1972199000000000,1930698000000000,1912539000000000,1882646000000000,1891002000000000,1868086000000000,1828892000000000
Tagihan Kepada Bukan Penduduk,2073389000000000,2051432000000000,2103385000000000,2277584000000000,2446266000000000,2630692000000000,2591128000000000,2620114000000000,2632831000000000,2605620000000000,2552243000000000,2508719000000000,2534278000000000,2531087000000000,2558608000000000,2590330000000000,2605853000000000,2736054000000000,2787474000000000,2777906000000000,2738043000000000,2719250000000000,2762431000000000,2819518000000000,2864315000000000,2822983000000000
Kewajiban Kepada Bukan Penduduk,531551000000000,608830000000000,596771000000000,566397000000000,636586000000000,732559000000000,691572000000000,692280000000000,680120000000000,671798000000000,679907000000000,674151000000000,663467000000000,680952000000000,700068000000000,739246000000000,738037000000000,768874000000000,797475000000000,805707000000000,807345000000000,806711000000000,879786000000000,928516000000000,996229000000000,994092000000000
Aktiva Dalam Negeri Bersih,3877327000000000,4317444000000000,4630162000000000,5194752000000000,6060772000000000,6629890000000000,6372282000000000,6372814000000000,6340573000000000,6418528000000000,6463835000000000,6538423000000000,6478681000000000,6514604000000000,6582696000000000,6655460000000000,6707101000000000,6857567000000000,6731951000000000,6767376000000000,6960727000000000,7013927000000000,7086176000000000,7124353000000000,7115297000000000,7144805000000000
Tagihan Bersih kepada Pemerintah Pusat,488862000000000,472729000000000,489173000000000,818392000000000,1127267000000000,970957000000000,792425000000000,747331000000000,658462000000000,607571000000000,637312000000000,697556000000000,653403000000000,665932000000000,701598000000000,787025000000000,783401000000000,908188000000000,807170000000000,739913000000000,776515000000000,764153000000000,782059000000000,795627000000000,757007000000000,749464000000000
Tagihan Kepada Pemerintah Pusat,858988000000000,893041000000000,930775000000000,1417262000000000,1709679000000000,1709320000000000,1745810000000000,1786791000000000,1763039000000000,1779777000000000,1692283000000000,1700305000000000,1700308000000000,1697956000000000,1663307000000000,1645797000000000,1672609000000000,1683711000000000,1716859000000000,1717600000000000,1670958000000000,1662006000000000,1628692000000000,1647130000000000,1630180000000000,1634942000000000
Kewajiban Kepada Pemerintah Pusat,370125000000000,420312000000000,441602000000000,598869000000000,582412000000000,738363000000000,953385000000000,1039460000000000,1104577000000000,1172206000000000,1054972000000000,1002749000000000,1046905000000000,1032024000000000,961708000000000,858772000000000,889208000000000,775524000000000,909689000000000,977686000000000,894443000000000,897852000000000,846633000000000,851504000000000,873173000000000,885478000000000
