Description,2014,2015,2016,2017,2018,2019,2020_Jan,2020_Feb,2020_Mar,2020_Apr,2020_May,2020_Jun,2020_Jul,2020_Aug,2020_Sep,2020_Oct,2020_Nov,2020_Dec,2021_Jan,2021_Feb,2021_Mar,2021_Apr,2021_May,2021_Jun,2021_Jul,2021_Aug,2021_Sep,2021_Oct,2021_Nov,2021_Dec,2022_Jan,2022_Feb,2022_Mar,2022_Apr,2022_May,2022_Jun,2022_Jul,2022_Aug,2022_Sep,2022_Oct,2022_Nov,2022_Dec,2023_Jan,2023_Feb,2023_Mar,2023_Apr,2023_May,2023_Jun,2023_Jul,2023_Aug,2023_Sep,2023_Oct,2023_Nov,2023_Dec,2024_Jan,2024_Feb,2024_Mar,2024_Apr,2024_May,2024_Jun,2024_Jul,2024_Aug
Uang Beredar Luas(M2),4173327000000000,4548800000000000,5004977000000000,5419165000000000,5760046000000000,6136777000000000,6046651000000000,6116495000000000,6440457000000000,6238267000000000,6468194000000000,6393744000000000,6567725000000000,6731760000000000,6748574000000000,6780845000000000,6817457000000000,6900049000000000,6767408000000000,6817788000000000,6895564000000000,6964386000000000,7004093000000000,7130061000000000,7160560000000000,7211501000000000,7300921000000000,7491704000000000,7572176000000000,7867090000000000,7646789000000000,7690135000000000,7810949000000000,7911484000000000,7854187000000000,7890747000000000,7845552000000000,7897628000000000,7962693000000000,8223055000000000,8297350000000000,8528022000000000,8271838000000000,8300648000000000,8293283000000000,8352350000000000,8336171000000000,8372990000000000,8349492000000000,8364739000000000,8441236000000000,8506544000000000,8574917000000000,8824748000000000,8721950000000000,8739574000000000,8891425000000000,8926466000000000,8968821000000000,9015355000000000,8983383000000000,8973696000000000
Uang Beredar Sempit (M1),942221000000000,1055440000000000,1237643000000000,1390807000000000,1457150000000000,1565439000000000,1484403000000000,1505491000000000,1648681000000000,1576401000000000,1653611000000000,1637751000000000,1683194000000000,1765264000000000,1780721000000000,1782244000000000,1799087000000000,1855625000000000,1762296000000000,1784763000000000,1827391000000000,1850951000000000,1861767000000000,1915429000000000,1933291000000000,1938390000000000,1968434000000000,2071418000000000,2114754000000000,2282157000000000,2149552000000000,2195618000000000,2254591000000000,2327208000000000,2302911000000000,2339450000000000,2296045000000000,2279163000000000,2320883000000000,2539067000000000,2467951000000000,2608797000000000,2422174000000000,2403594000000000,2408419000000000,2472869000000000,2423318000000000,2466009000000000,2438059000000000,2410851000000000,2482229000000000,2497710000000000,2510768000000000,2675324000000000,2564734000000000,2556485000000000,2639425000000000,2623331000000000,2625271000000000,2692395000000000,2625264000000000,2626712000000000
Uang Kartal di Luar Bank Umum dan BPR,419262000000000,469534000000000,508124000000000,586576000000000,625370000000000,654764000000000,616129000000000,607961000000000,620353000000000,634149000000000,685044000000000,651818000000000,668108000000000,666793000000000,674441000000000,707854000000000,712636000000000,760045000000000,712529000000000,698227000000000,692478000000000,732644000000000,743534000000000,739006000000000,758703000000000,750510000000000,748616000000000,766704000000000,775102000000000,831191000000000,765015000000000,795951000000000,792518000000000,896318000000000,820155000000000,815316000000000,822043000000000,805459000000000,807818000000000,808649000000000,840492000000000,897799000000000,830373000000000,813834000000000,832817000000000,895719000000000,859517000000000,879721000000000,853336000000000,851723000000000,865392000000000,863102000000000,893165000000000,975919000000000,915931000000000,911689000000000,953824000000000,943292000000000,934144000000000,958575000000000,939541000000000,954380000000000
Giro Rupiah,522960000000000,804231000000000,729519000000000,585906000000000,831779000000000,910675000000000,868273000000000,897529000000000,1028328000000000,942253000000000,968566000000000,985933000000000,1015085000000000,1098471000000000,1106280000000000,1074390000000000,1086451000000000,1095580000000000,1049766000000000,1086537000000000,1134913000000000,1118307000000000,1118233000000000,1176423000000000,1174588000000000,1187880000000000,1219818000000000,1304714000000000,1339652000000000,1450967000000000,1384536000000000,1399667000000000,1462073000000000,1430891000000000,1482756000000000,1524134000000000,1474003000000000,1473704000000000,1513065000000000,1730418000000000,1627459000000000,1710998000000000,1591801000000000,1589760000000000,1575602000000000,1577150000000000,1563801000000000,1586288000000000,1584723000000000,1559128000000000,1616837000000000,1634608000000000,1617603000000000,1699406000000000,1648803000000000,1644796000000000,1685601000000000,1680039000000000,1691128000000000,1733820000000000,1685723000000000,1672331000000000
a.I: Uang Elektronik,0,0,0,2421000000000,4033000000000,6143000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10598000000000,10789000000000,11434000000000,11107000000000,11196000000000,11456000000000,11304000000000,11392000000000,11430000000000,11622000000000,11887000000000,11989000000000,12079000000000,12356000000000,12461000000000,12874000000000,12821000000000,13026000000000,12964000000000,13020000000000
Uang Kuasi,3209475000000000,3479961000000000,3753809000000000,4009996000000000,4282364000000000,4545357000000000,4535529000000000,4584358000000000,4763598000000000,4637301000000000,4790161000000000,4735028000000000,4865764000000000,4947017000000000,4946507000000000,4976024000000000,4994353000000000,5021205000000000,4983838000000000,5012979000000000,5049972000000000,5095802000000000,5124161000000000,5198175000000000,5210210000000000,5252508000000000,5311398000000000,5400094000000000,5437328000000000,5562258000000000,5474170000000000,5470961000000000,5529751000000000,5556189000000000,5524848000000000,5526503000000000,5530342000000000,5598840000000000,5620749000000000,5657949000000000,5805021000000000,5894662000000000,5822056000000000,5871477000000000,5861271000000000,5856023000000000,5890062000000000,5883280000000000,5884767000000000,5926011000000000,5933580000000000,5981917000000000,6036313000000000,6120811000000000,6128684000000000,6152725000000000,6221533000000000,6271595000000000,6306932000000000,6253307000000000,6268568000000000,6243740000000000
Simpanan Berjangka (Rupiah dan Valas),1729883000000000,1845617000000000,1986832000000000,2124289000000000,2233782000000000,2353391000000000,2395785000000000,2445902000000000,2464622000000000,2422656000000000,2464737000000000,2461283000000000,2558603000000000,2594017000000000,2581725000000000,2630641000000000,2586057000000000,2550883000000000,2557743000000000,2577367000000000,2560132000000000,2571590000000000,2591461000000000,2602829000000000,2611551000000000,2619537000000000,2637755000000000,2652687000000000,2659988000000000,2674599000000000,2661784000000000,2642674000000000,2622372000000000,2611138000000000,2589607000000000,2578437000000000,2586567000000000,2611452000000000,2637014000000000,2661333000000000,2716656000000000,2728041000000000,2733074000000000,2773225000000000,2755191000000000,2739676000000000,2795833000000000,2760561000000000,2760453000000000,2804890000000000,2819857000000000,2833435000000000,2849001000000000,2865553000000000,2890499000000000,2920304000000000,2955034000000000,2956907000000000,2969556000000000,2928977000000000,2951053000000000,2957751000000000
Rupiah,1475405000000000,1587872000000000,1726439000000000,1851098000000000,1934018000000000,2054926000000000,2106072000000000,2130552000000000,2132796000000000,2130945000000000,2168881000000000,2165428000000000,2234170000000000,2266500000000000,2260611000000000,2300476000000000,2292653000000000,2267642000000000,2276879000000000,2300041000000000,2275144000000000,2294102000000000,2304195000000000,2316265000000000,2332059000000000,2340075000000000,2343748000000000,2363843000000000,2379548000000000,2385652000000000,2383053000000000,2373819000000000,2357163000000000,2349136000000000,2336962000000000,2309104000000000,2320210000000000,2327394000000000,2331184000000000,2343268000000000,2407555000000000,2413336000000000,2421936000000000,2454631000000000,2444955000000000,2452839000000000,2504960000000000,2486556000000000,2475842000000000,2516056000000000,2522193000000000,2536166000000000,2556722000000000,2558760000000000,2577797000000000,2606615000000000,2638689000000000,2648385000000000,2649210000000000,2581960000000000,2601374000000000,2614838000000000
Valuta Asing,254478000000000,257745000000000,260393000000000,273191000000000,299763000000000,298465000000000,289713000000000,315350000000000,331826000000000,291711000000000,295856000000000,295855000000000,324433000000000,327517000000000,321114000000000,330165000000000,293404000000000,283241000000000,280864000000000,277326000000000,284988000000000,277488000000000,287266000000000,286564000000000,279492000000000,279462000000000,294007000000000,288844000000000,280440000000000,288947000000000,278731000000000,268855000000000,265209000000000,262002000000000,252646000000000,269333000000000,266357000000000,284058000000000,305830000000000,318065000000000,309101000000000,314704000000000,311138000000000,318594000000000,310236000000000,286837000000000,290874000000000,274006000000000,284611000000000,288834000000000,297664000000000,297268000000000,292279000000000,306793000000000,312701000000000,313688000000000,316346000000000,308522000000000,320347000000000,347016000000000,349679000000000,342913000000000
Tabungan Lainnya (Rupiah dan Valas),1234588000000000,1361667000000000,1507557000000000,1638333000000000,1769299000000000,1877909000000000,1831352000000000,1829828000000000,1900027000000000,1870570000000000,1945010000000000,1927948000000000,1947642000000000,1980724000000000,1987483000000000,1990578000000000,2035198000000000,2106854000000000,2056612000000000,2042638000000000,2059616000000000,2102471000000000,2132363000000000,2169357000000000,2177189000000000,2191849000000000,2220623000000000,2244114000000000,2274075000000000,2374690000000000,2325280000000000,2332790000000000,2361941000000000,2450599000000000,2425138000000000,2431989000000000,2432971000000000,2427379000000000,2437327000000000,2421532000000000,2444437000000000,2504674000000000,2434118000000000,2425244000000000,2429568000000000,2477517000000000,2468891000000000,2479725000000000,2476093000000000,2465697000000000,2457435000000000,2458475000000000,2481260000000000,2524844000000000,2513479000000000,2505885000000000,2539746000000000,2564432000000000,2552677000000000,2578660000000000,2586439000000000,2579700000000000
