Description,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Pendapatan Negara dan Hibah,1550491000000000,1508020000000000,1555934000000000,1666376000000000,1943675000000000,1960634000000000,1647783000000000,2011347000000000,2635843000000000,2783930000000000
Penerimaan Dalam Negeri,1545457000000000,1496047000000000,1546946000000000,1654746000000000,1928110000000000,1955136000000000,1628951000000000,2006334000000000,2630147000000000,2766746000000000
Penerimaan Perpajakan,1146866000000000,1240419000000000,1284970000000000,1343530000000000,1518790000000000,1546142000000000,1285136000000000,1547841000000000,2034552000000000,2154208000000000
Pajak Dalam Negeri,1103218000000000,1205479000000000,1249499000000000,1304316000000000,1472908000000000,1505088000000000,1248415000000000,1474146000000000,1943655000000000,2089718000000000
Pajak Penghasilan (PPh),546181000000000,602308000000000,666212000000000,646793000000000,749947000000000,772266000000000,594033000000000,704925000000000,998214000000000,1061234000000000
Non Migas,458735000000000,552637000000000,630114000000000,596478000000000,685278000000000,713115000000000,561007000000000,652086000000000,920371000000000,992461000000000
Migas,87446000000000,49672000000000,36099000000000,50316000000000,64669000000000,59150000000000,33027000000000,52839000000000,77843000000000,68773000000000
Pajak Pertambahan Nilai (PPN),409182000000000,423711000000000,412213000000000,480725000000000,537268000000000,531577000000000,450328000000000,543652000000000,687609000000000,763633000000000
Pajak Bumi dan Bangunan (PBB),23476000000000,29250000000000,19443000000000,16770000000000,19445000000000,21146000000000,20954000000000,18925000000000,23265000000000,33271000000000
Bea Perolehan Hak Atas Tanah dan Bangunan (BPHTB)1,0,0,0,1000000000,0,0,0,0,0,0
Cukai,118086000000000,144641000000000,143525000000000,153288000000000,159589000000000,172422000000000,176309000000000,195518000000000,226881000000000,221851000000000
Pajak Lainnya,6293000000000,5568000000000,8105000000000,6738000000000,6660000000000,7677000000000,6791000000000,11126000000000,7686000000000,9730000000000
Pajak Perdagangan Internasional,43648000000000,34940000000000,35471000000000,39214000000000,45882000000000,41054000000000,36721000000000,73695000000000,90898000000000,64490000000000
Bea Masuk,32319000000000,31213000000000,32472000000000,35066000000000,39117000000000,37527000000000,32444000000000,39123000000000,51078000000000,50892000000000
Pajak Ekspor,11329000000000,3727000000000,2999000000000,4147000000000,6765000000000,3527000000000,4278000000000,34573000000000,39820000000000,13598000000000
Penerimaan Negara Bukan Pajak,398591000000000,255628000000000,261976000000000,311216000000000,409320000000000,408994000000000,343814000000000,458493000000000,595595000000000,612537000000000
Penerimaan Sumber Daya Alam,240848000000000,100972000000000,64902000000000,111132000000000,180593000000000,154895000000000,97225000000000,149489000000000,268771000000000,254203000000000
Minyak Bumi dan Gas Alam,0,0,0,0,0,0,0,0,148699000000000,0
Minyak Bumi,139174000000000,47987000000000,31448000000000,58203000000000,101487000000000,83622000000000,44869000000000,64999000000000,111993000000000,105109000000000
Gas Alam,77702000000000,30183000000000,12646000000000,23640000000000,41303000000000,37468000000000,24211000000000,31618000000000,36706000000000,37150000000000
Non Minyak Bumi dan Gas Alam,23972000000000,22801000000000,20808000000000,29289000000000,37803000000000,33805000000000,28145000000000,52873000000000,120072000000000,111944000000000
Bagian Laba BUMN,40314000000000,37644000000000,37133000000000,43904000000000,45061000000000,50634000000000,44599000000000,30497000000000,40597000000000,82059000000000
Surplus Bank Indonesia,0,0,0,0,0,30092000000000,21482000000000,0,0,0
Pendapatan Badan Layanan Umum,29681000000000,35315000000000,41946000000000,47345000000000,55093000000000,48869000000000,69308000000000,126003000000000,89902000000000,95860000000000
PNBP lainnya,87747000000000,81697000000000,117995000000000,108835000000000,128574000000000,124504000000000,111200000000000,152504000000000,196324000000000,180415000000000
Hibah,5035000000000,11973000000000,8988000000000,11630000000000,15565000000000,5497000000000,18833000000000,5013000000000,5696000000000,17184000000000
