Description,2014,2015,2016,2017,2018,2019,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2020,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2021,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2022,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2023,2024_Q1,2024_Q2
Pendapatan Primer,-29703000000,-28379000000,-29647000000,-32131000000,-30815000000,-33775000000,-7936000000,-6185000000,-7427000000,-7479000000,-28911000000,-6753000000,-8023000000,-8274000000,-8910000000,-31961000000,-7734000000,-9004000000,-8931000000,-9634000000,-35303000000,-8860000000,-9304000000,-8640000000,-8921000000,-35725000000,-8831000000,-9291000000
- Penerimaan,2130000000,2822000000,4048000000,5575000000,9302000000,7373000000,1035000000,1404000000,1251000000,1532000000,5222000000,1351000000,1775000000,1804000000,1809000000,6739000000,1543000000,2012000000,1993000000,1982000000,7530000000,1792000000,1995000000,1950000000,2127000000,7864000000,2360000000,2302000000
- Pembayaran,-31832000000,-31201000000,-33695000000,-37706000000,-40117000000,-41147000000,-8971000000,-7589000000,-8678000000,-9011000000,-34133000000,-8104000000,-9798000000,-10078000000,-10719000000,-38699000000,-9278000000,-11016000000,-10924000000,-11616000000,-42833000000,-10652000000,-11299000000,-10591000000,-11048000000,-43589000000,-11190000000,-11593000000
A. Kompensansi tenaga kerja,-1200000000,-1361000000,-1553000000,-1507000000,-1503000000,-1480000000,-333000000,-256000000,-348000000,-374000000,-1311000000,-330000000,-271000000,-362000000,-393000000,-1357000000,-346000000,-286000000,-384000000,-413000000,-1429000000,-367000000,-302000000,-405000000,-433000000,-1506000000,-387000000,-238000000
- Penerimaan,206000000,213000000,219000000,228000000,241000000,231000000,65000000,55000000,47000000,60000000,227000000,67000000,61000000,49000000,61000000,238000000,69000000,63000000,50000000,62000000,244000000,70000000,65000000,51000000,64000000,249000000,72000000,147000000
- Pembayaran,-1406000000,-1574000000,-1772000000,-1735000000,-1744000000,-1711000000,-398000000,-311000000,-394000000,-434000000,-1538000000,-397000000,-332000000,-411000000,-455000000,-1595000000,-416000000,-349000000,-434000000,-475000000,-1673000000,-436000000,-366000000,-456000000,-497000000,-1756000000,-459000000,-385000000
B. Pendapatan investasi,-28503000000,-27018000000,-28094000000,-30624000000,-29312000000,-32295000000,-7603000000,-5929000000,-7080000000,-7105000000,-27599000000,-6423000000,-7753000000,-7912000000,-8517000000,-30604000000,-7388000000,-8718000000,-8547000000,-9222000000,-33874000000,-8493000000,-9002000000,-8236000000,-8488000000,-34219000000,-8443000000,-9053000000
- Penerimaan,1924000000,2609000000,3829000000,5347000000,9061000000,7141000000,970000000,1349000000,1204000000,1472000000,4995000000,1284000000,1713000000,1755000000,1748000000,6500000000,1474000000,1949000000,1943000000,1919000000,7286000000,1722000000,1930000000,1899000000,2063000000,7614000000,2288000000,2155000000
- Pembayaran,-30426000000,-29627000000,-31923000000,-35970000000,-38373000000,-39436000000,-8573000000,-7278000000,-8284000000,-8577000000,-32595000000,-7707000000,-9466000000,-9667000000,-10264000000,-37104000000,-8862000000,-10667000000,-10490000000,-11141000000,-41160000000,-10215000000,-10932000000,-10135000000,-10550000000,-41833000000,-10732000000,-11208000000
a. Pendapatan investasi langsung,-19271000000,-18504000000,-17593000000,-19773000000,-17541000000,-18305000000,-4673000000,-2706000000,-3628000000,-3729000000,-14737000000,-3880000000,-4348000000,-4619000000,-5176000000,-18024000000,-5218000000,-5879000000,-5352000000,-5545000000,-21993000000,-5601000000,-5750000000,-4649000000,-5825000000,-21825000000,-5333000000,-5632000000
