Description,2020_Jan,2020_Feb,2020_Mar,2020_Apr,2020_May,2020_Jun,2020_Jul,2020_Aug,2020_Sep,2020_Oct,2020_Nov,2020_Dec,2021_Jan,2021_Feb,2021_Mar,2021_Apr,2021_May,2021_Jun,2021_Jul,2021_Aug,2021_Sep,2021_Oct,2021_Nov,2021_Dec,2022_Jan,2022_Feb,2022_Mar,2022_Apr,2022_May,2022_Jun,2022_Jul,2022_Aug,2022_Sep,2022_Oct,2022_Nov,2022_Dec,2023_Jan,2023_Feb,2023_Mar,2023_Apr,2023_May,2023_Jun,2023_Jul,2023_Aug,2023_Sep,2023_Oct,2023_Nov,2023_Dec,2024_Jan,2024_Feb,2024_Mar,2024_Apr,2024_May,2024_Jun,2024_Jul,2024_Aug,2024_Sep
Pertanian,101.61,102.21,101.81,101.08,100.12,100.34,99.96,98.84,98.51,98.96,100.64,102.64,103.63,103.44,103.32,103.56,103.98,102.79,102.71,102.18,101.23,100.70,100.48,102.16,102.97,101.80,103.35,103.68,103.79,105.82,106.44,103.71,103.90,102.62,103.05,105.61,107.24,106.99,107.52,107.29,107.91,108.75,109.22,109.08,109.41,109.76,110.95,112.69,113.16,114.64,116.72,117.05,116.95,116.79,114.78,113.46,111.75
Pertambangan dan Penggalian,99.17,99.16,99.81,100.72,99.99,100.05,100.53,101.06,100.91,101.06,101.40,101.46,102.98,104.28,104.73,105.39,105.59,106.22,107.00,108.19,108.70,109.43,110.62,110.90,111.07,111.82,112.81,114.43,114.50,115.95,117.18,117.34,119.93,121.63,122.08,122.99,124.65,124.59,125.24,125.79,125.66,125.42,124.7,123.32,124.6,123.53,123.75,124.07,125.19,125.36,126.06,126.38,127.54,126.64,126.52,125.31,125.70
Industri,103.43,103.59,103.81,104.08,104.20,104.35,104.33,104.51,104.57,104.71,104.92,105.13,105.61,105.89,106.08,106.43,106.75,106.98,107.11,107.35,107.57,107.93,108.40,108.97,109.78,110.05,110.68,111.91,112.33,112.75,113.23,113.73,114.86,115.09,115.36,115.81,116.21,116.72,116.98,117.22,117.36,117.35,117.47,117.58,118.11,118.36,118.45,118.56,118.78,119.50,120.00,120.21,120.17,120.25,120.44,120.59,120.74
IHPB Nasional,103.04,103.29,103.39,103.47,103.37,103.54,103.45,103.38,103.36,103.57,104.06,104.62,105.20,105.40,105.53,105.86,106.20,106.16,106.26,106.35,106.34,106.54,106.88,107.66,108.47,108.46,109.27,110.33,110.69,111.43,111.95,111.81,112.77,112.72,113.02,113.88,114.53,114.89,115.21,115.36,115.59,115.74,115.93,115.97,116.47,116.73,117.03,117.46,117.74,118.60,119.41,119.64,119.60,119.63,119.39,119.24,119.03
Impor,150.91,154.02,153.81,152.91,145.77,145.62,146.44,149.65,150.85,152.60,151.62,153.23,154.35,160.52,164.03,163.84,165.47,166.97,171.43,172.04,169.58,172.05,178.10,182.78,180.49,179.24,181.39,187.67,189.40,188.97,194.80,195.01,191.00,188.83,177.98,177.59,175.59,179.45,179.72,176.86,178.23,178.38,172.78,174.35,178.13,176.74,174.54,175.18,174.10,176.42,180.58,183.46,179.08,179.17,176.56,172.35,
Impor Non Migas,147.62,147.68,148.64,150.95,149.48,148.26,148.38,148.79,148.86,148.68,147.90,147.70,147.71,147.90,148.78,149.23,149.28,149.18,149.70,149.23,149.25,149.35,149.64,149.97,150.18,150.23,151.03,151.13,151.33,151.34,151.70,151.49,151.66,152.60,152.76,152.83,152.94,153.14,153.59,153.52,153.30,154.14,154.03,153.98,153.97,154.03,154.09,153.86,155.53,156.02,155.78,156.08,156.09,156.16,156.25,156.11,156.16
Ekspor,150.75,159.65,157.06,146.27,139.01,140.33,148.47,152.31,153.76,151.32,150.84,152.78,157.20,167.12,171.16,169.86,169.99,174.79,176.25,173.04,174.14,176.49,183.65,184.87,181.23,186.80,192.06,202.23,198.94,202.30,205.76,196.06,189.47,186.98,188.69,182.36,181.84,183.77,180.94,183.61,180.66,175.83,181.29,188.08,194.46,192.47,187.49,185.51,187.08,189.77,196.07,202.10,197.05,197.43,199.71,194.80,
Ekspor Non Migas,159.50,159.05,160.17,162.77,162.26,161.78,162.43,163.16,163.60,163.61,163.96,164.25,164.98,165.61,167.28,167.69,167.66,168.77,169.50,169.72,170.53,171.36,173.92,174.74,174.33,174.40,176.45,177.45,176.53,173.26,170.54,171.67,172.99,172.05,173.40,174.29,172.96,173.19,175.40,175.75,174.54,171.60,173.03,174.61,174.76,175.25,175.48,176.66,178.08,178.95,181.19,185.49,184.96,185.70,187.33,186.46,186.95
IHPI,157.10,155.59,149.27,142.07,142.72,147.55,151.10,152.44,151.90,151.19,152.98,155.91,159.42,164.13,167.93,167.13,167.94,171.26,174.07,172.59,172.08,174.48,181.14,183.92,180.90,183.38,187.23,195.64,194.62,196.27,200.80,195.59,190.16,187.82,183.84,180.20,179.01,181.81,180.38,180.55,179.56,176.98,177.44,181.87,187.07,185.35,181.63,180.83,181.20,183.73,189.06,193.67,188.91,189.17,189.23,184.64,
IHPI Non Migas,153.95,153.74,154.79,157.25,156.29,155.47,155.87,156.45,156.71,156.64,156.46,156.52,156.91,157.34,158.65,159.07,159.07,159.62,160.26,160.15,160.59,161.08,162.59,163.17,163.05,163.11,164.58,165.15,164.76,163.03,161.74,162.25,163.03,162.97,163.76,164.27,163.61,163.82,165.22,165.37,164.62,163.45,164.16,164.97,165.05,165.34,165.49,166.01,167.55,168.24,169.32,171.76,171.48,171.90,172.82,172.29,172.57
